#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-09-19T20:24:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ541c906b317d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:VII/118&tab:{VII/118/ngc2000}&key:source=VII/118/ngc2000&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VII/118/ngc2000
#-order=I
#-out=Name
#

#RESOURCE=yCat_7118
#Name: VII/118
#Title: NGC 2000.0 (Sky Publishing, ed. Sinnott 1988)
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_118_ngc2000:
#Name: VII/118/ngc2000
#Title: The NGC 2000.0 Catalogue
#Column	_RAJ2000	(F6.2)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F6.2)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(A5)	NGC or IC designation (preceded by I)	[ucd=meta.id;meta.main]
_RAJ2000;_DEJ2000;Name
005.0003;+22.0166;I1541
005.0753; -2.6500;I  12
005.1003; +0.8167;   78
005.1003;+59.2999;I  10
005.1003; +7.7000;I  13
005.1253;+56.5999;I  11
005.1503;+22.6166;I1542
005.2253;+21.8833;I1543
005.2503;+22.5666;   79
005.3003;+22.3500;   80
005.3003;+22.3666;   81
005.3003;-48.6333;   87
005.3253;-48.6499;   88
005.3253;-48.6833;   89
005.3253;+23.0333;I1544
005.3253;+21.9833;I1545
005.3503;+22.4333;   82
005.3503;+22.4333;   83
005.3503;+22.5000;   85
005.3753;+22.6000;   84
005.3753;+22.5500;   86
005.3753;-48.6333;   92
005.3753;+22.5000;I1546
005.4003;+22.5166;I1547
005.4503;+22.4166;   91
005.4753;+22.4166;   90
005.4753;+22.0166;I1548
005.5003;+22.4166;   93
005.5503;+22.4666;   94
005.5503;+10.5000;   95
005.5753;+22.5500;   96
005.6003;+29.7333;   97
005.6503;+10.4833;I  14
005.7003;-45.2666;   98
005.8003; +6.9833;I1549
005.9753;-32.5666;  101
006.0003;+15.7833;   99
006.0003;+16.4833;  100
006.0254;-72.0832;  104
006.1003;-13.9500;  102
006.1003;+38.1999;I1550
006.1753; -5.1666;  106
006.3253;+61.3499;  103
006.3253;+12.8833;  105
006.4003; -8.2833;  107
006.4753;+29.2166;  108
006.5503;+21.8166;  109
006.6753; -2.6333;  111
006.6753;+31.7166;  112
006.7003;-33.6833;  115
006.7004;-71.5332;  121
006.7503; -2.5000;  113
006.7753; -1.7833;  114
006.7753;-56.9832;  119
006.8003; -7.7000;  116
006.8003; +1.3167;  117
006.8253; -1.7833;  118
006.8504;+71.3832;  110
006.8753; -1.5167;  120
006.9003; +8.8833;I1551
006.9253; -1.6333;  122
006.9503; -1.6000;  123
006.9753; -1.8167;  124
006.9753;-13.0833;I  16
007.0003; -0.0667;I  15
007.1253; +2.6500;I  17
007.1253;-13.0000;I  20
007.1503;-11.5666;I  18
007.1753;-11.6333;I  19
007.2003; +2.8333;  125
007.2753; +2.8167;  126
007.3003; +2.8667;  127
007.3003; +2.8500;  128
007.3003; -0.1667;I  21
007.3253; +2.8667;  130
007.4003;-33.2666;  131
007.4003; -9.0500;I  22
007.4003;+21.4833;I1552
007.4753;+60.2333;  129
007.5503; +2.1000;  132
007.6003;-33.2499;  134
007.7253;-12.7333;I  23
007.7503; +5.1667;  138
007.7503; +5.0833;  139
007.7753;+10.1833;  137
007.8003;+63.3666;  133
007.8003;+30.8500;I  24
007.8003; -0.4000;I  25
007.8253;+30.7833;  140
007.8253;-22.6166;  142
007.8503; +5.1833;  141
007.8503;-22.5666;  143
007.8503;-22.6500;  144
007.8753;+61.5333;  136
007.9253; -5.1500;  145
007.9503;-13.3666;  135
007.9503;-13.3333;I  26
008.1753;-25.5833;I1553
008.2003;-73.1499;  152
008.2753;+63.2999;  146
008.2753;-13.3666;I  27
008.2753;-13.4500;I  28
008.2753;-32.2666;I1554
008.3003;+48.4999;  147
008.4253;+30.7166;  149
008.5003; -9.7000;  151
008.5003; -9.7000;  153
008.5253;-12.6500;  154
008.5503; -2.1833;I  29
008.5753;-31.7833;  148
008.5753;-27.7999;  150
008.5753; -2.0833;I  30
008.6003;+12.2833;I  31
008.6503; -8.3500;  156
008.6503;-55.7833;  159
008.6503;-30.0166;I1555
008.6753;-10.7666;  155
008.7003; -8.4000;  157
008.7253; -8.3166;  158
008.7503; -2.1333;I  32
008.7753; -2.1333;I  33
008.7753; -9.5666;I1556
008.8253;-23.3666;  167
008.8753; -2.8333;  161
008.8753; -2.8500;I1557
008.9003; +9.1333;I  34
008.9503;-13.6166;  166
008.9503;-73.1832;  176
008.9503;-25.3666;I1558
009.0003;-10.1166;  163
009.0253;+23.9500;  160
009.0253;+23.9666;  162
009.1253; +2.7500;  164
009.1253;-10.1000;  165
009.1753;-22.6000;  168
009.1753; +1.8500;  170
009.2253;+23.9833;  169
009.2253;-29.4833;  174
009.2253;+23.9833;I1559
009.3003; +1.9333;  173
009.3253;-22.6000;  172
009.3503;-19.9333;  171
009.3503;-19.9333;  175
009.3753;-22.5666;  177
009.4253;+10.3500;I  35
009.4253; +2.6667;I1560
009.4503;-17.8833;  179
009.4503;-15.4333;I  36
009.5003; +8.6333;  180
009.5503;+29.4666;  181
009.5503; +2.7333;  182
009.5753;+29.5000;  183
009.6253;+29.4333;  184
009.6253; +3.1500;  186
009.6253;-15.3833;I  37
009.6253;-24.3333;I1561
009.6503;-15.4333;I  38
009.6503;-24.2833;I1562
009.7253; +7.0333;  190
009.7503;+48.3333;  185
009.7503; -9.0000;  191
009.7503; -9.0166;I1563
009.7753;-14.1666;  178
009.7753;-18.6333;  209
009.7753;-14.1666;I  39
009.8003; +5.9667;I1564
009.8253; +0.8500;  192
009.8253; +3.3333;  193
009.8253; +3.0333;  194
009.8253; +0.9000;  196
009.8503; +0.8833;  197
009.8503; +2.8000;  198
009.8503; +6.7167;I1565
009.8503; +6.8000;I1566
009.8753; +2.4333;I  40
009.9003;-14.6833;  187
009.9003;+61.0666;  189
009.9003; -9.2000;  195
009.9003; +3.1167;  199
009.9003; +2.8833;  200
009.9003; +6.6167;I1567
009.9253; +0.8500;  201
009.9253; +3.5167;  202
009.9253; +3.4333;  203
009.9253;-14.1666;I  41
009.9503; +3.2833;  204
009.9753; +6.8333;I1568
010.0003;-14.3000;  207
010.0253;-56.1666;  212
010.1003;+41.6833;  205
010.1003; +2.7333;  208
010.1003; +6.7000;I1569
010.1253;-73.3999;  220
010.1503;+40.7333;  206
010.1503;-13.8666;  210
010.1503;-73.3999;  222
010.1503; +6.7500;I1570
010.1753; -0.3167;I1571
010.2003;-56.2166;  215
010.2503; +3.4333;  211
010.2503;-73.3666;  231
010.2753;-15.4333;I  42
010.3003;+16.4666;  213
010.3003;+16.2666;I1572
010.3503;-21.0500;  216
010.3753;+25.5000;  214
010.3753;-10.0333;  217
010.4503;+36.3500;  218
010.5503; +0.8500;I  44
010.5503;-23.5333;I1573
010.5753; +0.9000;  219
010.6003;-23.6333;  230
010.6003;+29.6333;I  43
010.6503; -1.5333;  227
010.6753;+40.8666;  221
010.6753; +0.8500;  223
010.6753;+41.2666;  224
010.6753;-23.5666;  232
010.6753;+29.6666;I  45
010.7003;+32.5666;  226
010.7003;+23.5000;  228
010.7003;-23.5500;  235
010.7253;-13.7500;I  47
010.7503;+23.4833;  229
010.7503;+27.2500;I  46
010.7753;-22.2500;I1574
010.8503;+61.7833;  225
010.8503;+30.5833;  233
010.8503;+14.3333;  234
010.8503;-50.1833;  238
010.8503;-73.4332;  241
010.8753; +2.9333;  236
010.8753; -0.1167;  237
010.9003;-73.4499;  242
010.9003; -7.8833;I  48
010.9003; -4.1500;I1575
011.0003;+85.3332;  188
011.0003; +1.8500;I  49
011.0503;-25.1000;I1576
011.1253;-25.0666;I1578
011.1503; -3.7833;  239
011.1503; -8.1333;I1577
011.2753; +6.1333;  240
011.3503;-73.3832;  248
011.3503;-73.0832;  249
011.4003;-26.5666;I1579
011.4503;-15.6000;  244
011.4753;+29.9333;  243
011.4753;-73.4999;  256
011.5253; -1.7333;  245
011.5253;-25.9000;I1581
011.5503; -9.5000;I  50
011.5753;+29.9166;I1580
011.5753;-24.3000;I1582
011.6003;-13.4333;I  51
011.6253;-73.1166;  261
011.7503;-11.8833;  246
011.7753;-20.7666;  247
011.8003;+23.0833;I1583
011.8253; +7.9167;  250
011.8253;+23.0500;I1585
011.8503;+27.8166;I1584
011.8753;-31.4166;  254
011.9003;-25.2833;  253
011.9003;-73.4832;  265
011.9503;+19.5666;  251
011.9503;-11.4666;  255
011.9753;+22.3666;I1586
012.0003;+27.6333;  252
012.0003;-73.2832;  267
012.0253; +8.3167;  257
012.0253; -2.7833;  259
012.0503;+27.6333;  258
012.0753;-38.2333;  264
012.1003; +4.1000;I  52
012.1253;-73.5332;  269
012.1503;+27.7000;  260
012.2003;+31.9500;  262
012.2003;-23.5666;I1587
012.2253;-13.1000;  263
012.4503;+32.2666;  266
012.5503; -5.2000;  268
012.6253;+10.6167;I  53
012.6753; -8.6500;  270
012.7003; -1.8833;  271
012.7003; -6.8833;  273
012.7003; -2.2833;I  54
012.7503; -7.0500;  274
012.7503;-23.5500;I1588
012.7753; -7.0666;  275
012.8253;-73.1499;  290
012.8503;+35.8333;  272
012.8753; -8.5833;  277
012.8753;-12.8500;I  56
012.8753;-34.4666;I1589
012.9253; +7.7167;I  55
013.0253;-22.6833;  276
013.0253;+47.5499;  278
013.0253;-73.3499;  294
013.0253;-22.6833;I1591
013.0753; -2.2000;  279
013.1253;+24.3333;  280
013.1753;-31.1999;  289
013.2003;+56.6166;  281
013.2003;+30.6166;  282
013.2003;-26.5833;  288
013.2003;-72.8332;  292
013.2753;+56.5833;I1590
013.3253;-13.1833;  283
013.3753; +5.7667;I1592
013.3753;-58.1166;I1597
013.4003;-13.1500;  284
013.4003;-13.1000;  286
013.4003;+32.4833;  287
013.4003; -8.7500;  291
013.4253;-13.1666;  285
013.4253;-47.6499;I1594
013.4503;-45.1833;I1595
013.5003;-72.1666;  299
013.5753; -7.2333;  293
013.6253;-23.4833;I1599
013.6753;+32.5000;I1593
013.6753;+21.5166;I1596
013.6753; +5.7667;I1598
013.7003;-16.6666;  303
013.7003;+11.8333;I  57
013.7253;-37.6833;  300
013.7253;-72.2166;  306
013.7503; -7.3500;  297
013.7503; -7.3500;  298
013.7503;-23.5166;I1600
013.7753;-13.6833;I  58
013.8003;+31.5166;  295
013.8503;+31.6666;  296
013.9003;-24.1500;I1601
013.9753; -9.9833;I1602
014.0003;+12.1000;  305
014.0253;+24.1166;  304
014.0253;-13.3833;I  60
014.0503;-72.4832;  330
014.0753;-10.6666;  301
014.0753;-52.7833;  312
014.1003;-10.6500;  302
014.1003; -1.7833;  308
014.1503; -1.7667;  307
014.1753; -9.9166;  309
014.1753;-52.9833;  323
014.1753;+61.0666;I  59
014.2253; -1.7667;  310
014.2253;-31.9666;  314
014.2503;-43.8333;  319
014.2503;-52.9166;  328
014.2503;-45.4166;I1603
014.2753; +7.5167;I  61
014.3003;-43.7333;  322
014.3503; -5.0333;  321
014.4003;+30.2666;  311
014.4003;+43.7833;  317
014.4003;-48.8999;I1605
014.4253;-74.4832;  339
014.4503;+30.3500;  313
014.4503;+30.3500;  315
014.4503;+30.3500;  316
014.4753; -5.1333;  325
014.4753; -5.1333;  327
014.5003; -5.0666;  329
014.5003;-16.2500;I1604
014.5253;+30.4166;  318
014.6003;+26.8666;  326
014.6003;-12.1833;I1606
014.6503;-40.4999;  324
014.6503; -2.7167;  331
014.6753;+11.8167;I  62
014.7003;-20.8333;  320
014.7003; +7.1000;  332
014.7003;-16.4833;  333
014.7003;-35.1333;  334
014.7003;-18.7666;  336
014.7253; +0.6000;I1607
014.7753;-72.1832;  346
014.8253;-18.2333;  335
014.8503;+27.0500;I  64
014.8503;-34.3333;I1608
014.8753;+60.8166;I  63
014.9253;-72.3499;I1611
014.9503; -7.5833;  337
014.9503;-40.3333;I1609
015.0003;-72.3832;I1612
015.0753; -6.9166;I  67
015.1003; -6.9500;I  68
015.1253;+30.8000;I  66
015.1503;+30.6500;  338
015.1503; -6.8833;  340
015.2003; -9.1833;  341
015.2003; -6.7833;  342
015.2003;-23.2333;  343
015.2253;-53.2499;  348
015.2253;+47.6833;I  65
015.2753; +0.0500;I  70
015.3253; -6.7833;I  71
015.3503; -6.9000;  345
015.3503; -6.8166;  347
015.3503;+31.0500;I  69
015.3753; -6.7666;I  72
015.4003;-23.2666;  344
015.4253;-15.5666;I1610
015.4753; -6.8166;  349
015.5003; -6.8166;  350
015.5253; -1.9167;  351
015.5253; -4.2500;  352
015.5503;-71.5499;  361
015.6503; -1.9333;  353
015.7253;-65.6166;  360
015.8003; -6.3333;  355
015.8003;-70.8499;  362
015.8253;+22.3333;  354
015.8253; -7.0000;  356
015.8253;-72.0832;  371
015.8503; -6.3333;  357
015.9753;-72.8166;  376
016.0253;-35.1166;  365
016.0253;-51.1333;I1615
016.0753;-51.0333;I1617
016.1003; -0.7500;  359
016.1003;-43.2666;  368
016.1503; -0.8500;  364
016.2003; +2.1167;I1613
016.2253;-12.1500;  367
016.2253; +4.7667;I  73
016.2253;-27.4333;I1616
016.2753;-17.7500;  369
016.2753;+33.2166;I1614
016.3003;+62.0333;  358
016.3253;-71.9999;  395
016.3253;-72.0332;I1624
016.4753; +4.0833;I  74
016.5003;+32.4166;I1618
016.5253;-16.5666;  363
016.5253;-73.2832;I1626
016.5503;-30.1833;  378
016.5753;-20.0500;  377
016.6003;+62.2333;  366
016.6003;-46.7166;I1621
016.6503;+32.4166;  370
016.6753;+32.4333;  372
016.7503;+32.3000;  373
016.7753;+32.7666;  374
016.7753;+32.3500;  375
016.7753;+13.9667;I1620
016.8003;+10.8500;I  75
016.8253;+32.5166;  379
016.8253;+32.4833;  380
016.8503;+32.4000;  382
016.8503;+32.4166;  383
016.8503;+32.3000;  384
016.8503;+32.3166;  385
016.8503;-69.8832;  406
016.8503;+33.0666;I1619
016.8753;+32.3666;  386
016.8753;+32.3833;  387
016.8753; +0.9333;  391
016.8753;-17.5000;I1622
016.9253;-17.4666;I1623
016.9253;-46.8999;I1625
016.9503;+32.3166;  388
016.9753;-71.7666;  411
017.0003; +4.5333;  396
017.0253;+32.4500;  390
017.0253;-72.3499;  416
017.0503; -4.5333;I  76
017.0503;-46.0999;I1627
017.0753;+61.5833;  381
017.0753;-46.6666;  405
017.0753;-72.8832;  419
017.0753;-46.7499;I1630
017.1003;+33.1166;  392
017.1003;+33.1333;  394
017.1253;+39.6999;  389
017.1253;+33.1000;  397
017.1503;+39.6666;  393
017.1753;-15.4166;I  77
017.2003;+32.5000;  398
017.2003;-15.8500;I  78
017.2003;-15.9500;I  79
017.2003;-28.5833;I1628
017.2003;-46.4833;I1631
017.2253;-71.7666;  422
017.2253;-15.4000;I  80
017.2503;+32.6166;  399
017.2503;+32.7333;  400
017.2753;+32.7666;  401
017.2753;-16.0000;I  82
017.3003;+32.8166;  402
017.3003;+32.7500;  403
017.3003; -1.6833;I  81
017.3003;-73.1999;I1644
017.3253;-71.7666;I1641
017.3503;+35.7166;  404
017.3503; +2.5667;I1629
017.3753;-35.7999;  409
017.3753; -2.8333;  413
017.4753;-45.9333;I1633
017.5503;-35.4833;  415
017.5753;-20.0166;  412
017.6253; +1.6833;I  83
017.6503;+33.1166;  407
017.6503;-30.2166;  418
017.6753;+17.6833;I1632
017.7253;+33.1000;  408
017.7503;+33.1500;  410
017.7503;-30.4333;I1637
017.7753;-18.1666;  417
017.7753;+17.6500;I1634
017.7753;+17.6500;I1635
017.8253;+33.1000;  414
017.8503;-29.2166;  423
017.8753;-38.0833;  424
017.8753; +1.6500;I  84
017.9003;+33.3500;I1636
017.9503;-61.5332;  432
017.9503; -0.4667;I  85
017.9503; -0.6500;I1639
017.9503;-55.8499;I1649
017.9753; -0.6167;I1640
017.9753;-71.3332;I1655
018.0253;+32.1000;  420
018.0253;+32.1500;  421
018.0503;-58.2499;  434
018.0503; -0.4000;I1643
018.0753;+33.3500;I1638
018.0753;-50.3999;I1650
018.1003;+15.7500;I1642
018.1253;-32.0499;  427
018.1253;+15.7333;I1645
018.1503;-71.7499;I1660
018.1503;-73.4499;I1662
018.1753;+15.6833;I1646
018.2253; -0.2833;  426
018.2253; +0.9833;  428
018.2253;-58.2832;  440
018.2503;+38.7999;  425
018.2503; -0.3333;  429
018.2753; -0.2500;  430
018.3003;+38.8833;I1647
018.3503;-37.9333;  438
018.3753;-16.2333;I  86
018.3753; +2.1000;I1651
018.4253;+33.2166;I1648
018.4503;-31.7499;  439
018.5003; +2.0667;  435
018.5003;-31.7833;  441
018.5253;-32.6499;I1657
018.5253;-32.6499;I1663
018.5503;+33.7333;  431
018.5753; +0.7667;I  87
018.5753;-69.7999;I1664
018.6003; +5.9333;  437
018.6003;-55.3999;  454
018.6003;-73.2832;  456
018.6253; +0.8000;I  88
018.6503; -1.0167;  442
018.7003;-72.2999;  460
018.7253; +1.9333;  445
018.7253; +4.1833;  446
018.7253;-71.5499;  458
018.7503;+31.9666;I1652
018.7753;+33.3833;  443
018.7753;+33.3833;I1653
018.8003;+30.2000;I1654
018.8253;+60.1333;  433
018.8253; -1.6167;  448
018.8753; -0.8667;  450
018.8753;-73.3332;  465
018.9003;+58.8166;  436
018.9003;+33.0666;  447
018.9003;+33.0833;I1656
018.9503;+31.0833;I1658
018.9753;+31.0833;  444
019.0003; +5.1833;  455
019.0253;+33.0833;  449
019.0253; +4.3000;I  89
019.0253;+30.3500;I1659
019.0503;+33.0666;  451
019.0503;+33.0833;I1661
019.0753;+31.0333;  452
019.0753;+33.0833;  453
019.1253; -7.9666;I  90
019.3003;-58.9166;  466
019.3253;-33.8333;  461
019.4003;-17.1166;I1667
019.4253;+34.7000;I1665
019.5003;+17.5500;  459
019.5253; +4.2333;  462
019.6253;+32.4666;I1666
019.6753; +2.5500;I  91
019.7003;+33.1833;I1668
019.7253;+16.3166;  463
019.7503;+34.9666;  464
019.7503;-17.0666;I  93
019.7503;-50.6499;I1674
019.7753;+58.3333;  457
019.8003; +3.3000;  467
019.8003;-16.8500;I1670
019.8253;-12.5666;I  95
019.8503;+14.8833;  469
019.9003;-58.5166;  484
019.9003;-17.1000;I1671
019.9253; +3.4167;  470
019.9503;+32.7833;  468
019.9753;+14.7833;  471
019.9753;+16.5500;  473
019.9753;+32.7666;I  92
020.0003;+14.8500;  475
020.0003;+14.8500;I  97
020.0253; +3.4167;  474
020.0253;+32.7000;I  94
020.0253;+33.2000;I1669
020.0503;+16.0166;  476
020.0503;-22.3666;  478
020.0753;-40.9499;  482
020.0753;+29.6666;I  96
020.1253;+32.7166;  472
020.1753;+29.7000;I1672
020.2003;+33.0166;I1673
020.2253; -9.8666;  480
020.2503; -9.2000;  481
020.2503;-12.6166;I  98
020.2503;+34.2666;I1675
020.2503;+30.2666;I1676
020.2503; +5.5667;I1678
020.3003;+33.2333;I1677
020.3253;+40.4833;  477
020.3253; +3.8667;  479
020.3503; +7.0167;  485
020.3503;-34.0499;  491
020.3503; +0.0833;I1681
020.4503;-16.3500;  487
020.4503; +5.2500;  488
020.4503; +9.2000;  489
020.4503;+33.4666;I1679
020.4753;+33.3000;I1680
020.5003;+33.5333;  483
020.5253; +5.4000;  486
020.5253; +5.3667;  490
020.5503; +5.4167;  492
020.5503; +0.9500;  493
020.5503;+33.2166;I1682
020.6003; -0.8833;  497
020.6253;-12.9500;I  99
020.6503;+34.4500;I1683
020.6753; +5.4000;  500
020.7003; +9.0500;  502
020.7253;+33.4666;  495
020.7253; +9.4667;  505
020.7253; -4.6500;I 100
020.7253;+33.3833;I1684
020.7503;+33.1833;  494
020.7503;+33.1833;I1685
020.8003;+33.4666;  499
020.8003;+33.4333;I1686
020.8253;+33.5500;  496
020.8253;+33.5000;  498
020.8503;+33.4500;  501
020.8503; +9.4333;  509
020.8503;+33.2833;I1687
020.8503;+33.0666;I1688
020.8753;+33.3500;  503
020.8753;+33.2166;  504
020.8753;+11.2833;  511
020.9003;+33.2333;  506
020.9253;+33.2500;  507
020.9253;+33.2833;  508
020.9253;+33.4333;  510
020.9503;+33.8166;  513
020.9503;+33.0666;I1689
020.9503;+33.1666;I1690
020.9753;-35.0499;  526
021.0003;+33.9166;  512
021.0003;-35.0999;  527
021.0003; -1.6500;I1693
021.0253;+12.9167;  514
021.0253; +9.5500;  516
021.0253; +9.9333;I 101
021.0753; +9.3333;  518
021.1003; +9.9000;I 102
021.1253; -1.6333;  519
021.1253;+33.3833;I1691
021.1503;+33.4833;  515
021.1503; +3.8000;  520
021.1503; +1.7333;  521
021.1503;-38.1166;  534
021.1503; +2.0333;I 103
021.1503; -1.4500;I 104
021.1503;+33.2500;I1692
021.1753;+33.4500;  517
021.1753; -1.5833;  530
021.1753; +2.0833;I 105
021.1753; -1.5833;I 106
021.1753;-12.6333;I 108
021.2003;+10.0000;  522
021.2003; +9.5333;  524
021.2003; +9.7000;  525
021.2003; +1.6000;I1694
021.2253; -1.6167;I1696
021.2253;-71.1832;I1708
021.2503; +8.7333;I1695
021.2753;-38.0833;  544
021.2753;-38.0499;  546
